Sum,Even,Odd,Col1,Count
86,3,2,2,2
86,3,2,5,2
86,3,2,8,2
86,3,2,9,2
86,3,2,10,2
95,2,3,1,2
95,2,3,3,2
95,2,3,5,2
95,2,3,7,2
95,2,3,8,2
96,3,2,3,2
96,3,2,6,2
Sum,Even,Odd,Col1,Count
96,3,2,8,2
96,3,2,9,1
96,3,2,11,1
96,3,2,12,2
103,2,3,2,2
103,2,3,3,2
103,2,3,4,2
103,2,3,7,2
103,2,3,9,2
110,3,2,1,2
110,3,2,4,2
110,3,2,6,2
110,3,2,8,2
Sum,Even,Odd,Col1,Count
110,3,2,9,2
117,2,3,4,2
117,2,3,10,3
117,2,3,13,3
117,2,3,14,2
120,3,2,5,2
120,3,2,6,3
120,3,2,8,3
120,3,2,14,2
121,2,3,5,3
121,2,3,9,3
121,2,3,11,2
121,2,3,12,2
Sum,Even,Odd,Col1,Count
126,3,2,5,4
126,3,2,14,3
126,3,2,15,3
135,2,3,7,3
135,2,3,9,2
135,2,3,13,3
135,2,3,17,2
Sum,Even,Odd,Col1,Count
